budget,runtime,rating,vote_count,popularity,production_countries,original_language,collection,release_year,is_holiday_release,revenue_log,cast_score,director_score,company_score,country_score,orig_lang_score,genre_action,genre_adventure,genre_comedy,genre_crime,genre_drama,genre_family,genre_fantasy,genre_horror,genre_others,genre_romance,genre_thriller
0.010275732145915395,0.3958333333333333,0.5972222222222223,0.003764017042632721,0.022708796233991305,United States of America,en,,2001,1,0.6566170288912003,0.7634012007913062,0.672568015855739,0.7485304062255566,16.082350635680427,15.889916787995814,0,0,1,1,0,0,0,0,0,0,1
0.0,0.3625,0.6533333333333333,0.005724442585670596,0.004824580677233389,United States of America,en,,2011,0,0.6005578649663298,0.6690728876645666,0.6481626839316128,0.6875273336493988,16.082350635680427,15.889916787995814,0,0,1,0,0,0,0,0,1,0,0
0.0008483353313923617,0.4041666666666667,0.5972222222222223,0.0025616227095694903,0.009818414771806568,France,fr,,2018,0,0.6390674043966765,0.6979620127107937,0.6545920639599637,0.6585424439286525,15.053039226108583,14.772985261684914,0,0,1,0,0,0,0,0,0,0,0
0.0,0.49166666666666664,0.625,0.00036594610136707003,0.004123878395711057,South Korea,ko,,2010,1,0.7492435128378956,0.7912321709537737,0.765633877822368,0.7980542942939464,15.768577265705918,15.832295564261791,0,0,1,0,0,0,0,0,0,1,0
0.0,0.49583333333333335,0.8472222222222221,0.0026139007240505003,0.006117841576054864,"United States of America, United Kingdom",en,,2011,0,0.587390727633285,0.6015943641931012,0.7994617505691005,0.7776206269527736,15.834449160807846,15.889916787995814,0,0,0,0,0,0,0,0,1,0,0
0.002055146429183079,0.3833333333333333,0.47222222222222227,0.0,0.0022802864056204494,Ukraine,ru,,2007,1,0.5314147385171388,0.6093928445344816,0.5443242263827895,0.5401195108602379,13.883883192850089,14.790131079536772,0,0,0,0,1,0,0,0,0,1,0
0.02055146429183079,0.5583333333333333,0.6558333333333333,0.043887393156807904,0.006290184812372459,"United Kingdom, Italy, France",it,,2015,1,0.7040592344526064,0.7750390614952033,0.6844114146050917,0.7095130418478856,15.079736245456395,14.297365566868239,0,0,0,0,0,0,1,1,0,1,0
0.029114574413426957,0.37916666666666665,0.6805555555555556,0.12674804610920876,0.013750037764454173,United States of America,en,,2013,0,0.8413092880882731,0.815579071295888,0.8702963118403415,0.8400432123627822,16.082350635680427,15.889916787995814,0,0,0,0,0,0,0,1,0,0,0
0.0,0.5333333333333333,0.7237499999999999,0.000914865253417675,0.0009629935814160436,Mexico,es,,2002,0,0.7132595987796955,0.7378417690665234,0.7305865855343325,0.7484115899335051,14.780665455272006,14.373514393039056,1,0,1,0,1,0,0,0,0,0,0
0.0,0.5916666666666667,0.7083333333333333,0.000235251065164545,0.005392077429490331,Japan,ja,Always: Sunset on Third Street Collection,2012,0,0.7923338769352595,0.7937697588405765,0.7636136613459442,0.8036613938623747,15.754659282250591,15.731716414084074,0,0,1,0,1,0,0,0,0,0,0
