budget,revenue,runtime,release_year,release_month,release_dayofweek,release_quarter,is_weekend,is_blockbuster_season,is_franchise,cast_score,director_score,keyword_score,genre_score,production_company_score,country_score,collection_score,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western
16.300417291085605,13.553201191989833,105.0,2000,1,4,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914528,15.518447421914528,15.518447421914528,15.518447421914528,15.518447421914528,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
16.213405921671733,17.906973121214072,98.0,2000,1,2,1,0,0,1,15.518447421914527,15.518447421914528,15.518447421914527,15.518447421914528,15.518447421914528,15.424864268108589,15.518447421914528,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.607270193858982,17.386387758645366,95.0,2000,1,2,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914528,15.552061067727216,15.518447421914528,15.5376873977952,15.518447421914528,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18.31532023940565,16.5120333733157,91.0,2000,1,4,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914528,15.518447421914528,15.518447421914528,15.618065674353906,15.518447421914528,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
15.424948670398354,9.171391621837609,94.0,2000,1,1,1,0,0,1,15.518447421914527,15.518447421914528,15.518447421914527,15.535981291645136,15.518447421914528,15.65531432847731,15.518447421914528,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
16.52356082573315,13.285454543143711,160.0,2000,1,4,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914528,15.580078090796288,15.518447421914528,15.518447421914528,15.518447421914528,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15.607270193858982,16.293566293740515,99.0,2000,1,5,1,1,0,1,15.518447421914527,15.518447421914528,15.518447421914528,15.496360139524327,15.518447421914528,15.518447421914528,15.518447421914528,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
13.038983942375959,15.35452622069408,175.0,2000,1,2,1,0,0,0,15.518447421914527,15.518447421914528,15.602330169687548,15.539110048734896,15.518447421914528,15.412114427687346,15.518447421914528,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17.399029524198163,14.915221243173978,95.0,2000,1,4,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914528,15.552817688527082,15.518447421914528,15.537866249199443,15.518447421914528,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.118095750958314,11.23289405144897,107.0,2000,1,4,1,0,0,0,15.518447421914527,15.518447421914528,15.412114427687346,15.519828658949553,15.518447421914528,15.377467567248733,15.518447421914528,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13.815511557963774,14.372184308061719,96.0,2000,2,1,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914527,15.523758278289506,15.518447421914528,15.223964844441333,15.518447421914528,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
17.50439003707821,18.785718737898097,119.0,2000,2,3,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914527,15.497123096750592,15.518447421914528,15.489722365784022,15.518447421914528,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
17.50439003707821,18.9020833881125,116.0,2000,2,4,1,0,0,1,15.518447421914527,15.518447421914528,15.518447421914527,15.505489824810237,15.460746914641101,15.193544110999207,15.518447421914528,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
16.118095750958314,14.285514812209815,101.0,2000,2,4,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914528,15.517170635316164,15.518447421914528,15.321424775727248,15.518447421914528,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15.894952224644102,11.571043418304876,122.0,2000,2,2,1,0,0,0,15.518447421914527,15.518447421914528,15.60564756649213,15.480027982841307,15.518447421914528,15.45929817745792,15.518447421914528,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
17.216707972959764,17.634420715684733,77.0,2000,2,4,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914528,15.542950692449095,15.518447421914528,15.167028281503386,15.518447421914528,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12.206077645517674,13.964162432750422,93.0,2000,2,4,1,0,0,1,15.518447421914527,15.518447421914528,15.222149865131055,15.448214312822952,15.518447421914528,15.244134295071554,15.518447421914528,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
16.380459992348886,17.950112667436237,89.0,2000,2,4,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914527,15.584543966972426,15.518447421914528,15.295662596468546,15.518447421914528,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17.909855136853043,17.764444784798417,94.0,2000,2,2,1,0,0,0,15.518447421914527,15.518447421914528,15.580078899769893,15.551739491212954,15.518447421914528,15.28607566301401,15.518447421914528,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15.76142084987672,17.175200154449954,118.0,2000,2,4,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914528,15.460356144485171,15.735586121850847,15.356886209350709,15.518447421914528,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15.176487367510099,15.404745967162468,199.0,2000,2,4,1,0,0,0,15.506267460757597,15.518447421914528,15.60024968873238,15.511291895220271,15.518447421914528,15.409496781914923,15.518447421914528,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16.951004817371683,17.78933697251896,108.0,2000,2,4,1,0,0,1,15.632913974344246,15.518447421914528,15.518447421914527,15.520240267700741,15.518447421914528,15.407394930047907,15.518447421914528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17.536373082144337,18.48244967080199,98.0,2000,2,4,1,0,0,1,15.518447421914527,15.518447421914528,15.518447421914528,15.600553809269915,15.518447421914528,15.471771742006585,15.518447421914528,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.588099342704055,13.271426279268471,82.0,2000,2,2,1,0,0,0,15.518447421914527,15.518447421914528,15.625399677289948,15.620943541730426,15.518447421914528,15.546117205557938,15.518447421914528,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
17.553180200057167,17.286512912380974,104.0,2000,2,4,1,0,0,0,15.518447421914527,15.518447421914528,15.634701656709582,15.546649699692246,15.48140467399104,15.492549497546516,15.518447421914528,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15.607270193858982,16.012735246411598,82.0,2000,3,2,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914528,15.596787457638104,15.518447421914528,15.53739858291738,15.518447421914528,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16.588099342704055,15.955576839107596,114.0,2000,3,4,1,0,0,0,15.518447421914527,15.518447421914528,15.518447421914527,15.597931805722354,15.518447421914527,15.518447421914528,15.518447421914528,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15.607270193858982,16.5516422894493,96.0,2000,3,4,1,0,0,0,15.748935582240527,15.518447421914528,15.518154705483777,15.627454630492853,15.518447421914528,15.548992160075775,15.518447421914528,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17.909855136853043,16.46168542627038,105.0,2000,3,4,1,0,0,0,15.518447421914527,15.518447421914528,15.599550620150401,15.611224705449168,15.69200176359192,15.572864782203716,15.518447421914528,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
17.034386422832473,17.008566828481705,108.0,2000,3,4,1,0,0,0,15.518447421914527,15.518447421914528,15.541152225589137,15.618165517819278,15.679550015024049,15.593535029740147,15.518447421914528,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
17.989897843244528,16.942271137784317,41.0,2000,3,5,1,1,0,1,15.518447421914527,15.518447421914528,15.518447421914528,15.616726426830773,15.518447421914528,15.526260726145683,15.518447421914528,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16.118095750958314,14.53915057044362,132.0,2000,3,3,1,0,0,0,15.518447421914527,15.518447421914528,15.687245644403475,15.462812614956484,15.518447421914527,15.522321418923047,15.518447421914528,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
